gender_binary,age_centered,race_binary,hh_income_num,hh_edu_num,children_binary
0,-1.1167655588416354,1,5,5,2
1,1.06779861546138,1,2,5,1
0,-0.6174366047152319,1,5,5,1
0,0.5684696613349766,1,2,5,2
0,-0.11810765058882831,0,11,3,2
1,2.3785371200431897,1,5,3,1
1,-0.11810765058882831,1,5,5,1
1,-0.30535600838622967,1,6,5,2
0,0.3812213035375752,1,7,3,2
0,2.815449954903793,1,3,5,1
1,-0.3677721276520301,1,2,2,2
1,0.13155682647437345,1,7,5,2
1,-0.6798527239810324,1,7,5,1
0,0.25638906500597436,1,5,5,2
1,-0.4301882469178306,1,7,2,2
1,1.1302147347271807,1,1,2,1
1,-1.2415977973732364,1,3,2,2
0,-0.7422688432468328,0,5,5,2
1,-0.9919333203100346,1,1,5,1
1,0.5684696613349766,1,3,2,2
1,-0.6174366047152319,0,1,2,2
1,-0.8671010817784337,1,3,5,2
0,0.5060535420691762,1,4,5,2
1,-0.8046849625126332,1,1,5,2
0,1.5671275695877838,1,8,2,2
1,-0.11810765058882831,1,7,3,2
0,1.317463092524582,1,5,3,1
1,1.754375927385185,1,7,5,1
0,-0.5550204854494315,1,4,5,1
0,0.630885780600777,0,1,5,2
1,-0.7422688432468328,1,1,5,2
1,0.25638906500597436,1,4,2,2
0,0.5060535420691762,1,6,5,1
1,-0.6798527239810324,1,3,5,2
1,1.06779861546138,1,6,5,1
0,-1.1167655588416354,1,6,2,2
1,-0.8671010817784337,1,1,5,1
0,-0.8046849625126332,1,2,2,2
0,-0.6174366047152319,1,4,5,1
0,-0.6174366047152319,0,4,5,2
0,-0.6174366047152319,1,4,2,2
1,-1.054349439575835,1,7,5,2
0,-1.3040139166390368,1,7,5,2
0,-0.9295172010442342,1,6,5,2
0,2.128872642979988,1,7,5,2
1,-1.2415977973732364,1,7,3,2
0,-0.8671010817784337,1,5,2,1
0,-0.4301882469178306,1,6,2,1
0,-0.4301882469178306,1,8,2,1
0,-0.6798527239810324,1,7,5,1
0,-0.7422688432468328,1,7,3,2
0,3.3147789090301965,1,3,2,1
0,-0.9919333203100346,1,2,2,2
0,-1.054349439575835,0,5,5,2
0,-0.6798527239810324,1,2,5,1
1,0.5060535420691762,0,5,2,2
0,-0.3677721276520301,1,6,3,1
0,-0.6174366047152319,1,1,2,2
0,-0.8046849625126332,1,7,5,2
0,-0.5550204854494315,1,6,3,1
1,-1.4288461551706375,1,4,5,2
1,1.6919598081193843,1,2,2,1
0,-0.9295172010442342,1,7,3,2
0,0.9429663769297792,1,5,5,1
0,2.066456523714187,1,6,5,1
0,1.317463092524582,1,7,5,1
1,-1.2415977973732364,1,7,2,2
0,-0.6798527239810324,1,7,5,1
1,0.630885780600777,1,7,3,1
0,-0.8671010817784337,1,2,3,2
1,0.25638906500597436,1,1,5,2
0,-0.8671010817784337,0,4,3,2
0,2.2537048815115885,1,4,5,1
1,1.1302147347271807,1,6,2,2
1,-0.8046849625126332,1,7,2,1
1,0.8181341383981784,0,6,5,1
1,-0.8046849625126332,1,4,2,2
1,1.754375927385185,1,2,3,1
0,-0.8046849625126332,1,7,5,2
0,0.630885780600777,1,7,3,2
0,-0.9919333203100346,1,6,5,1
0,-0.8046849625126332,1,3,5,1
0,-0.11810765058882831,1,1,5,1
1,-0.6174366047152319,1,1,5,1
1,-0.9919333203100346,1,7,5,2
1,0.630885780600777,1,4,5,2
0,-0.9919333203100346,1,7,5,2
0,1.3798792117903824,1,1,5,1
0,-0.9295172010442342,1,6,5,1
1,0.9429663769297792,1,3,5,2
0,-0.8671010817784337,1,1,2,1
1,0.630885780600777,1,5,5,2
1,-0.2429398891204292,1,2,5,2
1,-0.6174366047152319,1,1,5,2
1,1.8167920466509857,1,3,5,2
0,0.4436374228033757,1,7,3,2
1,0.13155682647437345,1,6,3,1
1,-0.9919333203100346,1,2,5,1
1,0.630885780600777,1,7,5,2
1,-1.4288461551706375,1,1,5,2
1,1.5047114503219834,1,2,2,2
0,-0.8671010817784337,0,4,5,2
0,-0.4301882469178306,1,7,5,2
0,-0.8046849625126332,1,4,5,1
0,0.06914070720857302,1,7,5,2
1,-1.3040139166390368,0,5,2,2
1,0.5684696613349766,1,6,2,2
1,-0.05569153132302788,1,4,5,2
0,1.06779861546138,1,6,5,2
0,0.630885780600777,1,3,5,1
0,0.13155682647437345,1,2,5,2
1,-0.5550204854494315,1,5,2,2
1,-0.6174366047152319,1,3,5,2
1,0.5060535420691762,1,3,5,2
1,-1.1167655588416354,1,6,5,2
0,0.06914070720857302,1,3,2,2
0,0.9429663769297792,1,4,2,2
1,1.5047114503219834,1,7,5,1
1,0.5684696613349766,1,7,5,2
0,-0.3677721276520301,1,3,3,2
1,-0.8671010817784337,1,4,2,1
0,-1.1167655588416354,1,1,5,1
1,-0.8046849625126332,1,4,5,1
0,-0.8046849625126332,1,5,5,2
1,1.629543688853584,1,3,5,1
1,-1.179181678107436,0,9,3,2
0,-1.054349439575835,1,1,5,2
1,-0.9919333203100346,1,4,5,2
0,0.8805502576639788,1,10,2,2
0,-0.30535600838622967,1,6,3,1
0,-0.6174366047152319,1,5,5,1
1,-1.1167655588416354,1,5,5,1
1,0.8181341383981784,0,6,2,2
0,-0.9919333203100346,1,3,2,2
0,-1.2415977973732364,1,7,5,1
0,0.00672458794277256,1,5,5,1
1,1.8167920466509857,0,6,2,1
0,-1.179181678107436,0,5,5,2
0,-1.1167655588416354,1,1,5,1
0,1.4422953310561828,1,4,2,1
0,1.06779861546138,1,5,5,2
0,-1.2415977973732364,1,4,5,2
1,1.879208165916786,1,5,3,1
1,-1.3040139166390368,1,11,2,2
0,0.25638906500597436,1,6,2,2
0,0.7557180191323779,1,7,5,2
0,-0.8046849625126332,1,3,5,2
1,-1.179181678107436,1,3,5,2
1,-0.30535600838622967,1,6,2,2
0,0.9429663769297792,1,5,5,1
1,0.3812213035375752,0,3,5,2
0,-0.3677721276520301,1,7,5,2
0,-1.3040139166390368,0,7,5,2
1,2.1912887622457884,1,6,5,1
0,-1.2415977973732364,1,4,5,2
0,1.3798792117903824,1,7,5,1
1,0.9429663769297792,1,5,3,2
0,0.06914070720857302,1,6,5,2
1,1.1302147347271807,1,5,5,2
0,-0.8671010817784337,1,5,5,2
0,0.5684696613349766,1,7,3,2
1,-0.9295172010442342,1,7,5,2
0,1.3798792117903824,1,1,5,1
0,-0.30535600838622967,1,7,5,2
1,0.7557180191323779,0,2,2,2
1,-0.6174366047152319,1,7,5,2
0,-0.3677721276520301,1,6,5,1
0,-1.2415977973732364,1,3,4,2
1,0.3812213035375752,1,7,5,2
1,1.192630853992981,1,5,5,1
1,-0.9919333203100346,1,1,2,1
0,-0.1805237698546288,1,4,2,2
1,1.629543688853584,1,4,5,1
0,-0.9295172010442342,1,7,3,2
1,-0.30535600838622967,1,6,5,2
0,1.5671275695877838,1,5,3,2
0,0.9429663769297792,1,5,5,2
0,-1.1167655588416354,1,7,5,2
0,-0.05569153132302788,1,1,5,2
1,-1.179181678107436,0,1,5,2
0,-1.054349439575835,1,1,2,2
1,-1.054349439575835,1,1,5,2
1,1.8167920466509857,1,7,3,2
1,-0.9295172010442342,1,2,5,2
0,1.629543688853584,1,4,5,1
1,0.8805502576639788,1,7,5,1
0,-0.6174366047152319,1,6,5,1
1,-0.6174366047152319,1,9,3,2
1,-0.9295172010442342,0,7,5,2
1,0.6933018998665775,1,4,3,2
1,-0.9919333203100346,0,5,2,2
1,-0.9919333203100346,0,3,2,1
0,-0.7422688432468328,1,5,5,1
0,-0.9295172010442342,1,7,5,2
0,-0.2429398891204292,1,4,3,1
0,-0.30535600838622967,1,6,2,2
1,-0.6174366047152319,0,1,5,1
1,0.8181341383981784,1,1,5,1
1,-1.2415977973732364,1,7,5,2
1,-1.179181678107436,1,5,3,1
1,-1.054349439575835,1,2,2,2
0,-1.054349439575835,1,6,2,1
0,-1.179181678107436,1,5,5,1
0,-1.054349439575835,1,7,5,2
1,0.3188051842717748,1,7,2,2
1,-0.492604366183631,1,3,5,1
0,0.5684696613349766,1,7,5,2
1,-0.11810765058882831,1,7,3,2
1,-0.8046849625126332,1,3,5,2
0,-1.3664300359048374,1,3,5,2
1,-0.7422688432468328,1,5,5,2
1,0.8181341383981784,1,7,2,2
1,-0.05569153132302788,1,7,2,2
1,0.5684696613349766,1,3,2,2
0,1.192630853992981,1,3,5,2
0,-0.9919333203100346,1,4,5,2
1,-0.492604366183631,1,11,2,2
0,-0.4301882469178306,1,5,5,2
0,-1.054349439575835,1,5,2,2
1,0.9429663769297792,1,2,1,1
1,-1.179181678107436,1,5,5,2
1,1.192630853992981,1,7,3,2
0,0.8805502576639788,1,5,5,2
1,-0.11810765058882831,1,6,2,2
0,-0.6174366047152319,1,5,5,1
0,-0.7422688432468328,1,5,5,1
0,-1.054349439575835,1,7,5,2
1,-0.9919333203100346,1,5,5,2
0,1.0053824961955795,1,7,5,1
0,-0.9295172010442342,1,2,2,2
1,-1.1167655588416354,1,6,2,2
0,-0.5550204854494315,1,4,5,2
1,-0.8046849625126332,1,1,5,2
0,-0.4301882469178306,1,7,5,2
1,-0.9919333203100346,1,7,3,2
1,-1.2415977973732364,1,4,5,1
1,0.7557180191323779,1,7,5,2
1,-0.7422688432468328,1,2,2,2
1,0.3812213035375752,1,6,5,2
0,0.8181341383981784,0,4,2,2
1,-0.6798527239810324,1,6,5,2
0,0.1939729457401739,1,6,5,2
1,-0.3677721276520301,1,2,2,2
0,-1.179181678107436,1,5,5,2
0,1.0053824961955795,1,7,5,1
0,-1.2415977973732364,1,6,3,2
